Column3,Column1,Column2,,,,,,,
Geek Squad,548,15.65,,,,,,,
Duckinators,4156,48.63,,,,,,,
Rise Of Hephaestus,4216,72.28,,,,,,,
Iron Ducks,5211,10.68,,,,,,,
Einstein Eagles,6949,-0.01,,,,,,,
Walbots,7175,47.03,,,,,,,
RoboAvatars,7303,63.4,,,,,,,
Acme Robotics,8367,95.59,,,,,,,
Robo Cougars,10717,14.68,,,,,,,
Spaceballs,10794,70.18,,,,,,,
NANO NERDS,11256,45.88,,,,,,,
Silent Bot Deadly,11363,74.84,,,,,,,
iHexagon,11387,53.93,,,,,,,
Sonic Screwdrivers,11574,42.58,,,,,,,
Tectonic Gears,12684,36.16,,,,,,,
Cyberscots,13228,53.9,,,,,,,
